zip,Median House Value 2000,Median House Value 2014,% Change in House Value,Median Income 2000,Median Income 2014,% Change in Income,Median Rent 2000,Median Rent 2014,% Change in Rent,Outcome
95139,371500.0,537900.0,0.4479138627187079,86515.0,98400.0,0.14,1500.0,1654.0,0.103,
90004,371100.0,724900.0,0.9533818377795742,27591.0,38493.0,0.4,600.0,1070.0,0.783,
90720,371100.0,757500.0,1.0412287793047696,65715.0,95631.0,0.46,887.0,1600.0,0.804,
91106,370400.0,554900.0,0.49811015118790497,46617.0,72192.0,0.55,790.0,1422.0,0.8,
92677,370400.0,668900.0,0.8058855291576674,80146.0,98264.0,0.23,1208.0,1820.0,0.507,
91024,369200.0,804600.0,1.1793066088840736,65862.0,90780.0,0.38,836.0,1430.0,0.711,
95132,369000.0,582800.0,0.5794037940379404,82779.0,98026.0,0.18,1387.0,1723.0,0.242,
94044,368800.0,614100.0,0.6651301518438177,72288.0,96719.0,0.34,1247.0,1799.0,0.443,
92624,366500.0,680700.0,0.8572987721691678,60797.0,71469.0,0.18,1102.0,1761.0,0.598,
95452,364500.0,619200.0,0.6987654320987654,58421.0,78114.0,0.34,924.0,1332.0,0.442,
95465,363900.0,600200.0,0.6493542181918109,40994.0,68636.0,0.67,650.0,1272.0,0.957,
94517,362900.0,584100.0,0.6095343069716175,96658.0,121367.0,0.26,1360.0,1889.0,0.389,
94110,361700.0,787100.0,1.1761128006635333,53795.0,84488.0,0.57,882.0,1447.0,0.641,
