zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
92661,15.32,15.87,0.5499999999999989,3612.0,4001.0,389.0,64293.0,93099.0,28806.0,1006.0,1664.0,658.0,0.011000000000000001,0.027000000000000003,0.016,4225.0,3152.0,-1073.0,0.9420000000000001,0.898,-0.04400000000000004,
90803,15.31,15.64,0.33000000000000007,2357.0,2909.0,552.0,60513.0,72025.0,11512.0,826.0,1357.0,531.0,0.022000000000000002,0.023,0.0009999999999999974,31349.0,30805.0,-544.0,0.86,0.8440000000000001,-0.015999999999999903,
91030,15.29,15.6,0.3100000000000005,2074.0,3093.0,1019.0,55701.0,80479.0,24778.0,833.0,1394.0,561.0,0.011000000000000001,0.06,0.048999999999999995,23975.0,25914.0,1939.0,0.604,0.5479999999999999,-0.05600000000000005,
94087,15.29,15.99,0.7000000000000011,2255.0,3428.0,1173.0,84856.0,122354.0,37498.0,1244.0,1701.0,457.0,0.017,0.043,0.025999999999999995,50051.0,55229.0,5178.0,0.613,0.475,-0.138,
92620,15.29,15.72,0.4300000000000015,2022.0,3156.0,1134.0,86467.0,102160.0,15693.0,1165.0,1861.0,696.0,0.003,0.006999999999999999,0.003999999999999999,26415.0,43802.0,17387.0,0.65,0.425,-0.22500000000000003,
94539,15.28,16.05,0.7700000000000014,2417.0,3325.0,908.0,101977.0,144152.0,42175.0,1315.0,1989.0,674.0,0.028999999999999998,0.053,0.024,46910.0,51459.0,4549.0,0.418,0.193,-0.22499999999999998,
93923,15.27,15.67,0.40000000000000036,2430.0,3375.0,945.0,67315.0,98219.0,30904.0,1247.0,2001.0,754.0,0.003,0.003,0.0,13108.0,12954.0,-154.0,0.935,0.938,0.0029999999999998916,
92075,15.27,15.19,-0.08000000000000007,2259.0,3114.0,855.0,69057.0,90833.0,21776.0,1114.0,1887.0,773.0,0.034,0.024,-0.010000000000000002,12170.0,12437.0,267.0,0.867,0.813,-0.05400000000000005,
94025,15.26,15.99,0.7300000000000004,2706.0,3921.0,1215.0,89572.0,119095.0,29523.0,1324.0,1833.0,509.0,0.039,0.038,-0.0010000000000000009,39061.0,40945.0,1884.0,0.741,0.745,0.0040000000000000036,
90056,15.24,15.47,0.23000000000000043,2544.0,3584.0,1040.0,72193.0,76688.0,4495.0,856.0,1462.0,606.0,0.02,0.008,-0.012,8108.0,8380.0,272.0,0.183,0.12,-0.063,
