zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
91913,14.22,66968.0,93708.45,1162.0,2550.9273637,0.013000000000000001,12880.0,0.584
90740,14.21,42067.0,58864.43,1033.0,2205.2997944,0.008,24177.0,0.888
95959,14.21,45803.0,64092.22,734.0,1575.6139394,0.006,17267.0,0.938
95570,14.21,33300.0,46596.75,669.0,1297.1528613,0.006999999999999999,2352.0,0.88
91007,14.21,51255.0,71721.22,834.0,1947.8282448,0.027000000000000003,30925.0,0.466
95409,14.21,52912.0,74039.86,956.0,1977.2135847,0.015,25706.0,0.894
94947,14.2,66970.0,93711.25,1145.0,2301.8516255,0.084,24724.0,0.841
95472,14.2,55766.0,78033.47,805.0,1774.3148092,0.016,31246.0,0.895
91789,14.2,73943.0,103468.58,1103.0,2637.6840815,0.021,45106.0,0.317
95125,14.19,68613.0,96010.3,1155.0,2097.5535481,0.036000000000000004,46184.0,0.757
93460,14.19,68682.0,96106.85,988.0,2430.5874003,0.004,5704.0,0.855
95747,14.19,62922.0,88046.87,822.0,1950.6268486,0.01,25410.0,0.8809999999999999
94121,14.19,61776.0,86443.27,984.0,2129.7374918,0.311,42473.0,0.486
95219,14.19,50396.0,70519.22,697.0,1546.2285995,0.012,19103.0,0.6609999999999999
92211,14.18,52251.0,73114.92,797.0,1733.7350541,0.009000000000000001,19699.0,0.907
91741,14.18,67419.0,94339.53,856.0,2167.5186431,0.013999999999999999,24967.0,0.866
90808,14.17,63620.0,89023.59,894.0,1996.8038113,0.013000000000000001,37403.0,0.81
