zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
94044,14.55,96719.0,1799.0,0.07400000000000001,38416.0,0.638
95825,13.83,37382.0,870.0,0.043,31083.0,0.583
94535,14.2,53389.0,1772.0,0.057,4543.0,0.73
90732,14.15,84537.0,1689.0,0.013999999999999999,19810.0,0.7490000000000001
91737,14.44,98407.0,1583.0,0.005,24759.0,0.637
91775,14.37,84620.0,1250.0,0.032,25395.0,0.336
95682,14.06,77416.0,1147.0,0.011000000000000001,29972.0,0.925
96161,14.61,75172.0,1432.0,0.009000000000000001,18475.0,0.955
95136,14.28,87500.0,1721.0,0.026000000000000002,41852.0,0.509
96103,14.48,60268.0,780.0,0.004,1357.0,0.951
94536,14.38,92107.0,1550.0,0.10099999999999999,70696.0,0.381
95677,14.1,69583.0,1291.0,0.016,22808.0,0.8440000000000001
91941,14.53,71661.0,1232.0,0.025,33474.0,0.768
95119,14.22,103319.0,1894.0,0.025,10595.0,0.597
90034,14.67,56743.0,1402.0,0.09699999999999999,58968.0,0.61
92672,14.55,75411.0,1642.0,0.011000000000000001,35041.0,0.807
91311,14.25,80279.0,1417.0,0.036000000000000004,37769.0,0.636
92708,14.11,82005.0,1615.0,0.011000000000000001,57441.0,0.535
90232,14.66,71316.0,1470.0,0.028999999999999998,15353.0,0.722
94550,14.52,102952.0,1450.0,0.038,48050.0,0.8220000000000001
92630,14.22,84785.0,1652.0,0.006,59657.0,0.667
95062,14.49,62253.0,1444.0,0.025,36358.0,0.846
93010,14.2,86505.0,1473.0,0.013000000000000001,43234.0,0.752
92821,14.42,80163.0,1544.0,0.018000000000000002,37580.0,0.732
91942,14.09,52354.0,1289.0,0.027000000000000003,39438.0,0.745
95404,14.32,67001.0,1220.0,0.028999999999999998,40253.0,0.78
93463,14.35,66771.0,1460.0,0.001,8132.0,0.845
94521,14.37,84819.0,1481.0,0.081,41138.0,0.706
92592,14.22,89541.0,1709.0,0.004,74558.0,0.737
95462,14.38,37083.0,931.0,0.036000000000000004,1216.0,0.857
90807,14.27,72276.0,1204.0,0.044000000000000004,33726.0,0.444
93611,14.01,77930.0,1397.0,0.002,48597.0,0.7240000000000001
91750,14.3,76912.0,1379.0,0.024,33969.0,0.75
91202,14.08,63111.0,1541.0,0.025,23007.0,0.778
91325,14.12,57883.0,1305.0,0.054000000000000006,32823.0,0.583
93546,13.48,65156.0,1138.0,0.094,9408.0,0.858
95818,14.91,58272.0,811.0,0.048,20135.0,0.72
94019,14.52,103378.0,1760.0,0.009000000000000001,18382.0,0.809
92126,14.44,85707.0,1718.0,0.018000000000000002,78201.0,0.37799999999999995
94116,14.11,84828.0,1584.0,0.282,45552.0,0.381
95050,14.31,69341.0,1451.0,0.052000000000000005,37714.0,0.593
93117,14.35,55801.0,1450.0,0.051,55064.0,0.6809999999999999
92705,14.11,82675.0,1382.0,0.021,46163.0,0.769
93003,14.27,69616.0,1494.0,0.013999999999999999,51454.0,0.81
90630,14.36,84051.0,1613.0,0.011000000000000001,48844.0,0.579
92626,14.33,80132.0,1705.0,0.019,51575.0,0.721
94518,14.1,73040.0,1390.0,0.105,26647.0,0.728
94574,14.25,81788.0,1582.0,0.003,9300.0,0.8190000000000001
95650,14.45,84133.0,1414.0,0.001,12255.0,0.932
90305,14.1,62558.0,1216.0,0.057,15501.0,0.09699999999999999
90230,14.56,73786.0,1531.0,0.044000000000000004,33090.0,0.602
92123,14.26,71911.0,1786.0,0.027000000000000003,29240.0,0.5760000000000001
94061,13.99,81907.0,1629.0,0.033,37667.0,0.733
94089,14.33,88797.0,1834.0,0.038,20476.0,0.48700000000000004
92845,14.08,89026.0,1473.0,0.012,17202.0,0.7609999999999999
95843,13.44,64773.0,1351.0,0.01,47172.0,0.645
91501,14.21,62500.0,1442.0,0.02,19829.0,0.7440000000000001
92116,14.86,54966.0,1120.0,0.051,32943.0,0.765
90010,14.6,47308.0,1637.0,0.083,3792.0,0.19699999999999998
95004,13.49,67188.0,1297.0,0.027999999999999997,3886.0,0.857
95446,14.57,43564.0,1073.0,0.042,4419.0,0.87
91607,14.47,52274.0,1278.0,0.051,29591.0,0.775
91739,14.38,100049.0,1656.0,0.023,38009.0,0.579
94553,14.0,76669.0,1394.0,0.052000000000000005,48891.0,0.779
93023,14.13,64843.0,1263.0,0.008,20603.0,0.902
95826,13.98,53648.0,963.0,0.053,38378.0,0.6729999999999999
92313,13.55,64140.0,1174.0,0.006999999999999999,12252.0,0.7040000000000001
91701,13.99,76994.0,1381.0,0.015,40822.0,0.752
95658,14.35,63604.0,1180.0,0.019,6261.0,0.9179999999999999
92117,14.18,65319.0,1379.0,0.036000000000000004,53205.0,0.7559999999999999
95037,14.07,95435.0,1631.0,0.027000000000000003,46834.0,0.68
94538,14.34,87652.0,1655.0,0.095,63850.0,0.321
