,Average Education Index 2014,zip
1095,13.00,95615
1096,13.00,91321
1097,12.99,93667
1098,12.99,91977
1099,12.99,95527
1100,12.99,95234
1101,12.99,94579
1102,12.99,91205
1103,12.98,95454
1104,12.98,91502
1105,12.98,96112
1106,12.98,96015
1107,12.97,95695
1108,12.97,93287
1109,12.97,92832
1110,12.97,95401
1111,12.96,94514
1112,12.96,91708
1113,12.96,93907
1114,12.96,96033
1115,12.96,95207
1116,12.96,94112
1117,12.95,95204
1118,12.95,95255
1119,12.95,94511
1120,12.95,95212
1121,12.94,94580
1122,12.94,93309
1123,12.94,90249
1124,12.93,92308
1125,12.93,91905
1126,12.93,95545
1127,12.93,90701
1128,12.93,96019
1129,12.93,95320
1130,12.93,90004
1131,12.93,90604
1132,12.93,94589
1133,12.92,95350
1134,12.92,95822
1135,12.92,95002
1136,12.91,91931
1137,12.91,92004
1138,12.91,95638
1139,12.91,91906
1140,12.90,92586
1141,12.90,95337
1142,12.90,92070
1143,12.90,96039
1144,12.90,93240
1145,12.90,92346
1146,12.90,95988
1147,12.90,92536
1148,12.90,90240
1149,12.89,95620
1150,12.89,92507
1151,12.89,90804
1152,12.88,90019
1153,12.88,92860
1154,12.88,92806
1155,12.88,94561
1156,12.88,91204
1157,12.88,95629
1158,12.87,95457
1159,12.87,90302
1160,12.87,94541
1161,12.87,96022
1162,12.86,93518
1163,12.86,95412
1164,12.86,95121
1165,12.86,92259
1166,12.86,95013
1167,12.86,95842
1168,12.85,92284
1169,12.85,93723
1170,12.84,93451
1171,12.84,94804
1172,12.84,90248
1173,12.84,95546
1174,12.83,93621
1175,12.83,94567
1176,12.83,95485
1177,12.82,95632
1178,12.82,92021
1179,12.82,93612
1180,12.82,92069
1181,12.82,95110
1182,12.82,93722
1183,12.82,90745
1184,12.82,95668
1185,12.82,91710
1186,12.81,93728
1187,12.81,96134
1188,12.81,91790
1189,12.81,93517
1190,12.81,93308
1191,12.81,92365
1192,12.81,92557
1193,12.80,93292
1194,12.80,95960
1195,12.80,95531
1196,12.80,92504
1197,12.80,95316
1198,12.79,92585
1199,12.78,92545
1200,12.78,94509
1201,12.77,96010
1202,12.77,95348
1203,12.77,92879
1204,12.77,95224
1205,12.77,91932
1206,12.75,93436
1207,12.75,91755
1208,12.75,95225
1209,12.75,93291
1210,12.75,95562
1211,12.75,94578
1212,12.75,93283
1213,12.75,90038
1214,12.74,90241
1215,12.74,95957
1216,12.74,92356
1217,12.74,92066
1218,12.74,95429
1219,12.74,91406
1220,12.74,95681
1221,12.73,93727
1222,12.73,96034
1223,12.73,96007
1224,12.73,93221
1225,12.72,93041
1226,12.72,94533
1227,12.72,95966
1228,12.72,92377
1229,12.72,95444
1230,12.72,90731
1231,12.71,91722
1232,12.71,96055
1233,12.71,92384
1234,12.71,94606
1235,12.71,92391
1236,12.71,95311
1237,12.71,95526
1238,12.71,93544
1239,12.70,92242
1240,12.70,93549
1241,12.70,95640
1242,12.70,95916
1243,12.70,90247
1244,12.69,92392
1245,12.68,93505
1246,12.68,95376
1247,12.68,95369
1248,12.67,91776
1249,12.67,96013
1250,12.67,93260
1251,12.67,92501
1252,12.67,95965
1253,12.67,96132
1254,12.66,93230
1255,12.66,95423
1256,12.66,92544
1257,12.66,90065
1258,12.65,92251
1259,12.65,91945
1260,12.64,92582
1261,12.63,92220
1262,12.63,95626
1263,12.63,95023
1264,12.63,93955
1265,12.63,95304
1266,12.62,92683
1267,12.62,92363
1268,12.62,92311
1269,12.62,95660
1270,12.62,96038
1271,12.61,92276
1272,12.61,94565
1273,12.61,92841
1274,12.61,95935
1275,12.60,93306
1276,12.60,91335
1277,12.59,90047
1278,12.59,96075
1279,12.59,95323
1280,12.59,95336
1281,12.58,90250
1282,12.58,90704
1283,12.58,95901
1284,12.58,91306
1285,12.58,94520
1286,12.57,95326
1287,12.57,95357
1288,12.57,92389
1289,12.56,96105
1290,12.56,92084
1291,12.56,92378
1292,12.55,90242
1293,12.55,96058
1294,12.55,91343
1295,12.55,94124
1296,12.55,95569
1297,12.55,92114
1298,12.54,95932
1299,12.52,90042
1300,12.52,95673
1301,12.52,94573
1302,12.52,92241
1303,12.52,95820
1304,12.51,93545
1305,12.51,90016
1306,12.51,90602
1307,12.51,95330
1308,12.50,92347
1309,12.50,95991
1310,12.50,92395
1311,12.49,94544
1312,12.49,91345
1313,12.48,95939
1314,12.47,93534
1315,12.47,92804
1316,12.46,90706
1317,12.46,92102
1318,12.46,93645
1319,12.46,95914
1320,12.45,95955
1321,12.45,92801
1322,12.45,96130
1323,12.45,93726
1324,12.45,92840
1325,12.44,95368
1326,12.44,92372
1327,12.44,93560
1328,12.44,93313
1329,12.43,92025
1330,12.43,93641
1331,12.43,92505
1332,12.43,95548
1333,12.43,95354
1334,12.43,96124
1335,12.43,96129
1336,12.43,92027
1337,12.43,95367
1338,12.42,90605
1339,12.42,95514
1340,12.42,95641
1341,12.42,95237
1342,12.41,95963
1343,12.41,96054
1344,12.41,93603
1345,12.41,92371
1346,12.41,93461
1347,12.41,96110
1348,12.41,93254
1349,12.41,91303
1350,12.40,95937
1351,12.40,92234
1352,12.40,92285
1353,12.40,95567
1354,12.40,96116
1355,12.40,93243
1356,12.39,91752
1357,12.39,96071
1358,12.39,91917
1359,12.39,95464
1360,12.39,95605
1361,12.38,95303
1362,12.38,95422
1363,12.38,93528
1364,12.38,93301
1365,12.37,92655
1366,12.37,92567
1367,12.36,90670
1368,12.36,96023
1369,12.36,95458
1370,12.36,95301
1371,12.35,94134
1372,12.34,95127
1373,12.34,95970
1374,12.34,95203
1375,12.34,93452
1376,12.33,92503
1377,12.33,90260
1378,12.33,90029
1379,12.32,90810
1380,12.32,96046
1381,12.32,90012
1382,12.32,93036
1383,12.31,92282
1384,12.30,91606
1385,12.30,92844
1386,12.30,93625
1387,12.30,95697
1388,12.28,95327
1389,12.28,93454
1390,12.28,93562
1391,12.27,91702
1392,12.27,90005
1393,12.25,94806
1394,12.24,95823
1395,12.24,90650
1396,12.24,92337
1397,12.24,95961
1398,12.24,91911
1399,12.23,91767
1400,12.23,93657
1401,12.23,93535
1402,12.23,96008
1403,12.23,91405
1404,12.23,90806
1405,12.22,93268
1406,12.22,92539
1407,12.22,95240
1408,12.21,92407
1409,12.21,95917
1410,12.20,92154
1411,12.20,95627
1412,12.19,93445
