,public_transportation_2014,zip
1174,0.4%,92583
1175,0.4%,93280
1176,0.4%,95231
1177,0.4%,90704
1178,0.4%,92584
1179,0.4%,92807
1180,0.4%,92808
1181,0.4%,95651
1182,0.4%,95945
1183,0.4%,96032
1184,0.3%,93637
1185,0.3%,93656
1186,0.3%,93960
1187,0.3%,93268
1188,0.3%,94574
1189,0.3%,92135
1190,0.3%,92251
1191,0.3%,93445
1192,0.3%,93636
1193,0.3%,92587
1194,0.3%,93906
1195,0.3%,95382
1196,0.3%,92657
1197,0.3%,95326
1198,0.3%,90274
1199,0.3%,96039
1200,0.3%,93923
1201,0.3%,95669
1202,0.3%,95963
1203,0.3%,96007
1204,0.3%,93212
1205,0.3%,93465
1206,0.3%,95356
1207,0.3%,95948
1208,0.2%,95685
1209,0.2%,93611
1210,0.2%,93532
1211,0.2%,95938
1212,0.2%,91377
1213,0.2%,92371
1214,0.2%,95368
1215,0.2%,95966
1216,0.2%,93561
1217,0.2%,93619
1218,0.2%,95988
1219,0.2%,92562
1220,0.2%,93635
1221,0.2%,95726
1222,0.2%,96094
1223,0.2%,93460
1224,0.2%,95386
1225,0.2%,92563
1226,0.2%,93631
1227,0.2%,93648
1228,0.2%,93711
1229,0.2%,95363
1230,0.2%,95428
1231,0.1%,93618
1232,0.1%,90077
1233,0.1%,95033
1234,0.1%,95650
1235,0.1%,92065
1236,0.1%,92679
1237,0.1%,93402
1238,0.1%,93657
1239,0.1%,93901
1240,0.1%,95379
1241,0.1%,95953
1242,0.1%,96020
1243,0.1%,93451
1244,0.1%,92548
1245,0.1%,92694
1246,0.1%,95634
1247,0.1%,93463
1248,0.1%,93555
1249,0.1%,93638
1250,0.1%,93662
1251,0.1%,95315
1252,0.1%,93221
1253,0.0%,93908
1254,0.0%,95971
1255,0.0%,93907
