,house_median_value_2000,zip
997,"$150,200",95357
998,"$150,000",94567
999,"$149,900",95361
1000,"$149,500",95843
1001,"$149,400",95329
1002,"$149,300",91730
1003,"$149,300",92114
1004,"$149,100",93454
1005,"$149,100",95610
1006,"$148,700",92317
1007,"$148,600",91744
1008,"$148,600",95825
1009,"$148,200",95521
1010,"$148,100",94590
1011,"$148,000",90810
1012,"$147,700",95674
1013,"$147,500",90062
1014,"$147,400",90805
1015,"$147,200",90063
1016,"$146,800",96114
1017,"$146,700",90262
1018,"$146,700",91702
1019,"$146,600",91706
1020,"$146,500",95245
1021,"$146,000",92336
1022,"$145,800",91331
1023,"$145,100",95973
1024,"$145,000",95569
1025,"$144,900",92339
1026,"$144,900",95684
1027,"$144,800",92004
1028,"$144,700",90802
1029,"$144,700",92262
1030,"$144,700",95634
1031,"$144,400",92313
1032,"$144,400",93930
1033,"$144,300",95368
1034,"$144,000",90037
1035,"$144,000",91340
1036,"$144,000",95956
1037,"$143,900",92377
1038,"$143,900",95338
1039,"$143,800",95619
1040,"$143,700",95461
1041,"$143,600",95701
1042,"$143,400",96051
1043,"$143,100",93222
1044,"$142,800",91766
1045,"$142,500",93452
1046,"$142,500",95451
1047,"$142,500",96126
1048,"$142,300",95209
1049,"$142,300",95928
1050,"$142,200",95936
1051,"$142,000",95419
1052,"$141,900",95519
1053,"$141,600",92102
1054,"$141,500",93312
1055,"$141,500",95355
1056,"$141,300",93643
1057,"$141,300",95317
1058,"$141,200",95382
1059,"$141,100",95666
1060,"$141,000",90044
1061,"$141,000",91950
1062,"$140,900",95926
1063,"$140,700",93675
1064,"$140,600",93536
1065,"$140,600",95935
1066,"$140,500",93635
1067,"$140,300",90716
1068,"$140,300",92399
1069,"$140,000",90011
1070,"$139,900",95221
1071,"$139,600",93311
1072,"$139,500",95960
1073,"$139,400",91906
1074,"$139,100",93532
1075,"$139,000",90058
1076,"$138,900",90001
1077,"$138,900",93653
1078,"$138,800",95453
1079,"$138,800",95993
1080,"$138,700",95632
1081,"$138,500",95841
1082,"$138,200",95443
1083,"$138,100",92374
1084,"$137,900",93602
1085,"$137,700",90813
1086,"$137,600",95327
1087,"$137,500",92332
1088,"$137,500",94535
1089,"$137,500",95613
1090,"$137,500",95903
1091,"$137,500",96011
1092,"$137,500",96048
1093,"$137,500",96124
1094,"$137,400",91762
1095,"$137,300",90061
1096,"$137,200",95231
1097,"$137,200",95640
1098,"$136,900",90221
1099,"$136,900",92557
1100,"$136,900",95528
1101,"$136,700",92346
1102,"$136,400",91767
1103,"$136,400",95670
1104,"$136,300",92066
1105,"$136,300",95717
1106,"$136,100",92505
1107,"$136,100",95257
1108,"$136,100",95494
1109,"$135,900",92503
1110,"$135,600",91763
1111,"$135,600",92359
1112,"$135,400",90220
1113,"$135,400",94612
1114,"$135,200",92372
1115,"$135,100",95971
1116,"$134,900",92509
1117,"$134,400",90003
1118,"$134,400",95240
1119,"$134,300",92530
1120,"$134,300",95641
1121,"$134,300",96088
1122,"$134,100",95490
1123,"$134,000",95627
1124,"$133,800",93669
1125,"$133,700",90222
1126,"$133,400",95326
1127,"$133,300",93652
1128,"$133,200",93238
1129,"$133,100",95826
1130,"$133,000",92341
1131,"$133,000",95372
1132,"$133,000",96020
1133,"$132,900",92320
1134,"$132,900",93458
1135,"$132,800",96040
1136,"$132,700",92382
1137,"$132,700",95540
1138,"$132,300",95346
1139,"$132,200",94603
1140,"$132,000",92337
1141,"$131,800",95503
1142,"$131,500",92105
1143,"$131,400",95426
1144,"$131,200",95363
1145,"$130,700",95249
1146,"$130,500",90059
1147,"$130,500",95969
1148,"$130,400",92507
1149,"$130,400",92539
1150,"$130,000",93513
1151,"$130,000",93626
1152,"$129,700",93517
1153,"$129,700",94621
1154,"$129,700",96016
1155,"$129,600",91768
1156,"$129,500",94801
1157,"$129,500",96137
1158,"$129,400",96001
1159,"$128,600",95457
1160,"$128,600",95954
1161,"$128,500",92342
1162,"$128,100",92323
1163,"$128,000",93927
1164,"$128,000",95691
1165,"$127,700",90002
1166,"$127,600",91764
1167,"$127,500",92314
1168,"$127,500",95621
