zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
96140,14.71,14.68,-0.030000000000001137,0.012,0.049,0.037000000000000005,1928.0,1126.0,-0.416,0.952,1.0,0.05,
93908,14.7,14.61,-0.08999999999999986,0.001,0.0,-0.001,13020.0,12350.0,-0.051,0.81,0.862,0.064,
94903,14.69,14.87,0.17999999999999972,0.09,0.091,0.0010000000000000009,28401.0,30110.0,0.06,0.846,0.778,-0.08,
93940,14.69,15.01,0.3200000000000003,0.027999999999999997,0.045,0.017,32840.0,33760.0,0.028,0.814,0.791,-0.028,
91207,14.68,15.05,0.370000000000001,0.006999999999999999,0.023,0.016,9852.0,10334.0,0.049,0.79,0.791,0.001,
94086,14.67,15.36,0.6899999999999995,0.05,0.06,0.009999999999999995,63997.0,47051.0,-0.265,0.477,0.484,0.015,
91367,14.67,15.12,0.4499999999999993,0.011000000000000001,0.023,0.011999999999999999,36106.0,42029.0,0.164,0.822,0.721,-0.123,
93950,14.66,15.05,0.39000000000000057,0.017,0.004,-0.013000000000000001,15436.0,15365.0,-0.005,0.881,0.857,-0.027,
94946,14.66,14.8,0.14000000000000057,0.031,0.011000000000000001,-0.019999999999999997,589.0,682.0,0.158,0.849,0.912,0.074,
92835,14.66,15.01,0.34999999999999964,0.017,0.022000000000000002,0.005000000000000001,21144.0,23378.0,0.106,0.792,0.67,-0.154,
92673,14.65,15.24,0.5899999999999999,0.006,0.016,0.01,15280.0,29875.0,0.955,0.898,0.816,-0.091,
94566,14.65,15.22,0.5700000000000003,0.048,0.075,0.026999999999999996,36664.0,42523.0,0.16,0.837,0.701,-0.162,
