zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
91024,"$65,862","$90,780",$836,"$1,430",10545,11060,85.7%,75.7%,
95624,"$65,850","$80,233",$758,"$1,467",38521,63131,71.3%,52.5%,
92305,"$65,833","$62,109",$775,"$1,433",289,321,91.0%,82.2%,
93510,"$65,737","$89,403",$943,"$1,806",7813,7289,87.6%,83.4%,
90720,"$65,715","$95,631",$887,"$1,600",21328,22325,82.5%,75.0%,
94005,"$65,658","$80,233",$975,"$1,482",3615,4421,72.6%,52.3%,
95614,"$65,625","$90,903","$1,070","$1,875",3658,4283,95.2%,97.2%,
95650,"$65,327","$84,133",$796,"$1,414",11180,12255,90.2%,93.2%,
95006,"$65,206","$75,510",$950,"$1,434",10506,9162,91.3%,92.4%,
91344,"$64,947","$77,247",$912,"$1,538",48863,53165,66.0%,63.4%,
91214,"$64,843","$89,849",$915,"$1,602",29101,31078,72.5%,64.1%,
94061,"$64,839","$81,907","$1,143","$1,629",35718,37667,76.1%,73.3%,
95005,"$64,813","$69,872",$967,"$1,340",6394,6615,91.7%,91.2%,
92629,"$64,622","$88,384","$1,143","$1,843",27728,26955,86.9%,85.0%,
95020,"$64,611","$82,748",$939,"$1,356",49948,59666,60.3%,70.8%,
94015,"$64,534","$78,564","$1,150","$1,670",63317,62941,29.1%,22.9%,
94521,"$64,485","$84,819",$995,"$1,481",39887,41138,75.5%,70.6%,
95682,"$64,454","$77,416",$769,"$1,147",24721,29972,92.6%,92.5%,
94518,"$64,429","$73,040",$950,"$1,390",27392,26647,74.6%,72.8%,
94596,"$64,389","$78,856","$1,010","$1,429",40916,20778,82.0%,80.1%,
92661,"$64,293","$93,099","$1,006","$1,664",4225,3152,94.2%,89.8%,
94303,"$64,256","$89,464",$956,"$1,634",45483,47159,42.8%,51.0%,
93611,"$64,229","$77,930",$803,"$1,397",46851,48597,82.6%,72.4%,
92648,"$64,156","$85,857",$957,"$1,571",42645,46623,82.1%,79.3%,
96146,"$64,000","$53,250","$1,100",$908,926,823,94.3%,95.8%,
92024,"$63,996","$92,402",$943,"$1,696",47113,49226,86.6%,88.8%,
94117,"$63,983","$103,333","$1,056","$1,773",38738,42638,72.7%,74.3%,
91962,"$63,971","$100,398","$1,042","$1,133",1598,1722,93.7%,93.8%,
94949,"$63,838","$74,009","$1,244","$1,717",13360,16386,82.5%,77.0%,
94561,"$63,777","$77,706",$900,"$1,409",27599,38481,75.5%,68.0%,
95829,"$63,774","$74,530",$935,"$1,594",11380,25786,66.0%,47.4%,
92860,"$63,750","$85,361",$863,"$1,830",22425,27304,82.4%,74.4%,
93605,"$63,750","$82,917",$453,$673,258,201,92.3%,73.1%,
90808,"$63,620","$96,824",$894,"$1,427",37403,39834,81.0%,73.0%,
90732,"$63,614","$84,537",$968,"$1,689",21264,19810,77.6%,74.9%,
90630,"$63,611","$84,051",$923,"$1,613",47334,48844,65.9%,57.9%,
95835,"$63,611","$80,449",$246,"$1,425",834,39073,67.8%,42.8%,
92029,"$63,581","$68,108",$826,"$1,395",17929,19528,82.5%,85.2%,
91001,"$63,543","$85,655",$775,"$1,439",36235,37481,42.2%,58.3%,
91773,"$63,526","$78,501",$896,"$1,502",33865,33869,74.5%,66.4%,
90713,"$63,458","$87,095","$1,010","$1,841",27549,28411,77.5%,66.2%,
92870,"$63,367","$80,037",$899,"$1,541",48166,53474,68.3%,74.3%,
92270,"$63,349","$71,688",$657,"$1,297",12452,17634,92.9%,90.7%,
92823,"$63,266","$124,712","$1,450","$2,001",1404,2960,89.5%,51.9%,
93010,"$63,245","$86,505",$941,"$1,473",42840,43234,78.4%,75.2%,
95492,"$63,161","$81,093",$856,"$1,648",23688,29629,79.2%,76.7%,
95127,"$63,096","$70,692","$1,167","$1,564",60609,64498,42.8%,36.3%,
93066,"$63,043","$75,380",$769,"$1,347",2946,3179,74.4%,72.5%,
92867,"$63,039","$78,072",$885,"$1,481",40914,44569,72.6%,69.9%,
92675,"$62,937","$72,465","$1,009","$1,753",34311,35596,78.4%,71.0%,
95747,"$62,922","$92,678",$822,"$1,394",25410,56415,88.1%,78.3%,
92007,"$62,877","$93,889","$1,076","$1,846",10366,11782,86.3%,90.0%,
94951,"$62,528","$93,389",$749,"$1,287",3764,4812,92.1%,81.1%,
92555,"$62,509","$73,352",$881,"$1,606",12726,40419,62.8%,48.7%,
91901,"$62,452","$81,379",$757,"$1,284",16468,18184,88.1%,88.0%,
92705,"$62,368","$82,675",$880,"$1,382",44110,46163,71.8%,76.9%,
92506,"$62,357","$78,116",$741,"$1,201",42405,45993,76.3%,80.7%,
91207,"$62,347","$88,929",$796,"$1,426",9852,10334,79.0%,79.1%,
91311,"$62,270","$80,279",$890,"$1,417",35317,37769,73.8%,63.6%,
92106,"$62,121","$81,973",$778,"$1,600",18505,19539,89.5%,85.0%,
94066,"$61,939","$81,369","$1,158","$1,685",39546,42100,57.9%,50.8%,
95688,"$61,828","$81,860",$761,"$1,337",32552,35820,79.7%,73.0%,
95376,"$61,800","$62,262",$795,"$1,271",69786,49398,65.5%,64.1%,
93720,"$61,797","$77,092",$802,"$1,327",45075,46153,78.3%,71.7%,
90743,"$61,786","$106,458",$850,"$1,872",170,330,97.7%,80.0%,
94121,"$61,776","$70,220",$984,"$1,522",42473,42043,48.6%,46.2%,
90638,"$61,724","$79,858",$874,"$1,530",47548,49543,64.4%,56.5%,
94118,"$61,609","$82,993","$1,062","$1,667",38939,40102,56.7%,57.7%,
92562,"$61,583","$75,448",$783,"$1,469",36129,63293,82.6%,74.3%,
93312,"$61,583","$93,588",$753,"$1,574",40824,56313,86.1%,79.5%,
94803,"$61,494","$76,232",$863,"$1,298",25392,25998,51.6%,49.2%,
94569,"$61,429","$94,420",$546,$914,168,320,91.7%,100.0%,
94508,"$61,389","$72,411",$780,"$1,037",3631,4118,77.4%,70.3%,
94107,"$61,362","$120,610","$1,050","$2,001",17368,27792,62.4%,59.2%,
91367,"$61,356","$77,152","$1,073","$1,756",36106,42029,82.2%,72.1%,
91351,"$61,349","$70,858",$980,"$1,463",59257,32433,76.2%,71.8%,
90245,"$61,341","$84,004",$882,"$1,555",16033,16839,83.6%,82.4%,
93441,"$61,339","$95,625",$936,"$1,306",1301,1195,90.9%,89.1%,
94080,"$61,289","$78,378","$1,063","$1,525",60592,66002,44.4%,38.1%,
90815,"$61,074","$79,525",$962,"$1,569",38892,40572,75.5%,73.4%,
90212,"$61,039","$84,516","$1,200","$1,902",11347,12415,84.9%,77.9%,
94591,"$61,022","$73,870",$901,"$1,359",51659,54530,39.7%,38.3%,
94930,"$60,971","$93,049","$1,108","$1,564",8476,8756,91.5%,89.5%,
94574,"$60,964","$81,788",$803,"$1,582",9415,9300,83.9%,81.9%,
