,median_cost for house_2014,zip
1008,"$1,783",95245
1009,"$1,781",95665
1010,"$1,779",93905
1011,"$1,778",90059
1012,"$1,777",90262
1013,"$1,776",96107
1014,"$1,775",96137
1015,"$1,773",91917
1016,"$1,773",95064
1017,"$1,772",90011
1018,"$1,769",90040
1019,"$1,769",93667
1020,"$1,768",91731
1021,"$1,768",94515
1022,"$1,768",94571
1023,"$1,768",95462
1024,"$1,767",93930
1025,"$1,766",90810
1026,"$1,764",92377
1027,"$1,763",91759
1028,"$1,763",95209
1029,"$1,761",92504
1030,"$1,761",96142
1031,"$1,760",93926
1032,"$1,760",95222
1033,"$1,759",91733
1034,"$1,759",96067
1035,"$1,758",91766
1036,"$1,757",92108
1037,"$1,757",93653
1038,"$1,757",94804
1039,"$1,748",91502
1040,"$1,745",96103
1041,"$1,742",93271
1042,"$1,740",95554
1043,"$1,737",90723
1044,"$1,737",92313
1045,"$1,735",92503
1046,"$1,735",95547
1047,"$1,730",95355
1048,"$1,730",95670
1049,"$1,729",95363
1050,"$1,729",95589
1051,"$1,728",91762
1052,"$1,727",93453
1053,"$1,727",94589
1054,"$1,726",95843
1055,"$1,725",95412
1056,"$1,722",93430
1057,"$1,721",95610
1058,"$1,717",91768
1059,"$1,717",95993
1060,"$1,715",90061
1061,"$1,715",91706
1062,"$1,715",95821
1063,"$1,713",95970
1064,"$1,712",93265
1065,"$1,711",92536
1066,"$1,710",92585
1067,"$1,709",91746
1068,"$1,707",91763
1069,"$1,706",95726
1070,"$1,705",94603
1071,"$1,704",95231
1072,"$1,703",95692
1073,"$1,701",90201
1074,"$1,701",92102
1075,"$1,697",95336
1076,"$1,696",94590
1077,"$1,696",95374
1078,"$1,696",95525
1079,"$1,694",93614
1080,"$1,691",90221
1081,"$1,691",93458
1082,"$1,690",94511
1083,"$1,688",95681
1084,"$1,688",96047
1085,"$1,685",93631
1086,"$1,684",92407
1087,"$1,683",90003
1088,"$1,683",95466
1089,"$1,682",93675
1090,"$1,682",95642
1091,"$1,680",95368
1092,"$1,678",90063
1093,"$1,678",95324
1094,"$1,677",92105
1095,"$1,677",94801
1096,"$1,677",95223
1097,"$1,677",95311
1098,"$1,677",95335
1099,"$1,674",93545
1100,"$1,673",92173
1101,"$1,670",95310
1102,"$1,670",95415
1103,"$1,669",95714
1104,"$1,668",95357
1105,"$1,666",96001
1106,"$1,665",95012
1107,"$1,664",92567
1108,"$1,662",95370
1109,"$1,661",95317
1110,"$1,658",92507
1111,"$1,658",92530
1112,"$1,658",95503
1113,"$1,656",95225
1114,"$1,656",95470
1115,"$1,656",95634
1116,"$1,656",95825
1117,"$1,655",90022
1118,"$1,655",90220
1119,"$1,655",92339
1120,"$1,654",94621
1121,"$1,654",96022
1122,"$1,653",92509
1123,"$1,652",92234
1124,"$1,652",93644
1125,"$1,650",95555
1126,"$1,649",90001
1127,"$1,642",93561
1128,"$1,640",93645
1129,"$1,638",95313
1130,"$1,638",95457
1131,"$1,633",90002
1132,"$1,633",95485
1133,"$1,630",92557
1134,"$1,629",95635
1135,"$1,627",93727
1136,"$1,625",95240
1137,"$1,625",95553
1138,"$1,625",95701
1139,"$1,625",96059
1140,"$1,624",95926
1141,"$1,622",92251
1142,"$1,622",95367
1143,"$1,621",95626
1144,"$1,620",91764
1145,"$1,616",92551
1146,"$1,614",95471
1147,"$1,612",93625
1148,"$1,611",95321
1149,"$1,610",95453
1150,"$1,609",93308
1151,"$1,606",95975
1152,"$1,604",95075
1153,"$1,604",95249
1154,"$1,596",92320
1155,"$1,596",95251
