,Median_Rent_2000,zip
1150,$567,95664
1151,$566,92256
1152,$565,90029
1153,$565,92310
1154,$565,93653
1155,$565,95348
1156,$565,96019
1157,$564,90012
1158,$564,94102
1159,$564,95564
1160,$564,95938
1161,$563,90018
1162,$563,92220
1163,$563,93710
1164,$563,95987
1165,$562,92307
1166,$562,92501
1167,$561,92113
1168,$560,90002
1169,$560,93230
1170,$560,96052
1171,$560,96124
1172,$559,90044
1173,$559,93513
1174,$559,95380
1175,$558,93244
1176,$558,96017
1177,$556,92230
1178,$555,90802
1179,$555,93224
1180,$555,93612
1181,$555,95926
1182,$555,96113
1183,$554,90011
1184,$554,92004
1185,$554,93242
1186,$554,94124
1187,$554,95468
1188,$554,95528
1189,$553,95527
1190,$552,93635
1191,$552,95305
1192,$551,93291
1193,$551,95521
1194,$551,95691
1195,$550,92101
1196,$550,92394
1197,$550,92404
1198,$550,93925
1199,$550,95554
1200,$550,96008
1201,$549,92590
1202,$549,95919
1203,$548,93514
1204,$547,90005
1205,$547,93245
1206,$547,93602
1207,$547,95249
1208,$546,93202
1209,$546,93238
1210,$546,94569
1211,$545,95320
1212,$545,95326
1213,$545,95821
1214,$545,96001
1215,$544,95464
1216,$544,95537
1217,$543,95974
1218,$543,96137
1219,$542,92405
1220,$542,93657
1221,$542,96084
1222,$541,95547
1223,$541,95816
1224,$540,90007
1225,$540,92241
1226,$540,93560
1227,$540,95815
1228,$540,95817
1229,$538,95043
1230,$538,95386
1231,$538,96059
1232,$537,90037
1233,$536,93650
1234,$536,95334
1235,$536,95982
1236,$535,96063
1237,$534,92543
1238,$534,93274
1239,$534,95363
1240,$533,90033
1241,$533,92249
1242,$533,93631
1243,$533,95345
1244,$533,96116
1245,$532,93451
1246,$532,93725
1247,$531,93221
1248,$531,95543
1249,$531,96067
1250,$530,90006
1251,$530,95205
1252,$530,95221
1253,$530,95360
1254,$530,95553
1255,$530,96121
1256,$529,93505
1257,$529,93705
1258,$529,94612
1259,$529,95690
1260,$529,96020
1261,$528,92359
1262,$528,93304
1263,$528,95971
1264,$527,92243
1265,$527,93517
1266,$526,90813
1267,$525,91905
1268,$525,91948
1269,$525,91980
1270,$525,92280
1271,$525,93528
1272,$525,93603
1273,$525,93620
1274,$525,95417
1275,$525,95942
1276,$525,96069
1277,$525,96136
1278,$524,95301
1279,$524,95540
1280,$522,93654
1281,$521,95257
1282,$520,93429
1283,$520,93662
1284,$520,95203
1285,$520,95423
1286,$519,93426
1287,$518,93610
1288,$517,95493
1289,$517,96007
1290,$517,96051
1291,$517,96071
1292,$516,93727
1293,$516,95531
1294,$515,92231
1295,$515,93240
1296,$515,93728
1297,$515,96122
1298,$514,92311
1299,$514,93561
1300,$514,95327
1301,$514,95338
1302,$513,92309
1303,$513,93954
1304,$513,95668
1305,$513,95674
1306,$511,92240
1307,$511,95514
1308,$511,95551
1309,$511,96093
1310,$509,92273
1311,$509,93272
1312,$508,93255
1313,$508,95555
1314,$508,95573
1315,$508,95645
1316,$507,92284
1317,$507,95206
1318,$506,93526
1319,$506,93638
1320,$506,95212
1321,$506,95935
1322,$505,90057
1323,$505,95950
1324,$503,92583
1325,$503,93254
1326,$503,93626
1327,$503,93675
1328,$503,95818
1329,$502,95422
1330,$501,93308
1331,$501,93643
1332,$501,96057
1333,$500,90059
1334,$500,92410
1335,$500,93257
1336,$500,95459
1337,$500,95966
1338,$499,94607
1339,$498,93555
1340,$497,93609
1341,$496,92223
1342,$496,95916
1343,$496,95917
1344,$496,95932
1345,$496,96080
1346,$495,95501
1347,$495,95605
1348,$495,96032
1349,$494,92061
1350,$494,92411
1351,$494,95322
1352,$494,95955
1353,$493,93618
1354,$493,93665
1355,$493,96109
1356,$492,92250
1357,$492,93307
1358,$492,93726
1359,$492,95466
1360,$492,96024
1361,$491,93703
1362,$491,95562
1363,$490,92561
1364,$490,93518
1365,$490,95303
1366,$490,95511
1367,$490,95991
1368,$490,96090
1369,$489,95961
1370,$488,92225
1371,$488,93204
1372,$488,93252
1373,$488,95311
1374,$488,95717
1375,$488,96096
1376,$487,92278
1377,$487,93615
1378,$487,96035
1379,$486,92408
1380,$486,93206
1381,$484,92242
1382,$484,92384
1383,$484,93646
1384,$484,93647
1385,$483,92227
1386,$483,93541
1387,$483,95563
1388,$482,96105
1389,$481,95565
1390,$481,95963
1391,$481,96064
1392,$480,93247
1393,$480,93656
1394,$480,95979
1395,$480,96047
1396,$479,95901
1397,$478,95485
1398,$477,93235
1399,$477,93268
1400,$477,95340
1401,$477,96056
