,Median Income 2000,zip
1122,"$35,746",95374
1123,"$35,744",90280
1124,"$35,733",91768
1125,"$35,699",94590
1126,"$35,670",95675
1127,"$35,648",92004
1128,"$35,625",95913
1129,"$35,551",92372
1130,"$35,529",95528
1131,"$35,485",95822
1132,"$35,455",93644
1133,"$35,453",95821
1134,"$35,436",93643
1135,"$35,417",96034
1136,"$35,403",91401
1137,"$35,401",92116
1138,"$35,383",93662
1139,"$35,367",93654
1140,"$35,351",93609
1141,"$35,313",95537
1142,"$35,313",95955
1143,"$35,298",95451
1144,"$35,282",95816
1145,"$35,253",93625
1146,"$35,228",95825
1147,"$35,221",93638
1148,"$35,205",90040
1149,"$35,153",90716
1150,"$35,142",90047
1151,"$35,139",95430
1152,"$35,101",90247
1153,"$35,024",92243
1154,"$35,008",92335
1155,"$34,951",94710
1156,"$34,917",95615
1157,"$34,908",93442
1158,"$34,824",91103
1159,"$34,792",95459
1160,"$34,755",94603
1161,"$34,751",90303
1162,"$34,750",95226
1163,"$34,750",95653
1164,"$34,688",93513
1165,"$34,601",95338
1166,"$34,560",96001
1167,"$34,537",92315
1168,"$34,507",96002
1169,"$34,479",95317
1170,"$34,418",95249
1171,"$34,405",96113
1172,"$34,398",94609
1173,"$34,375",93242
1174,"$34,375",93287
1175,"$34,375",93549
1176,"$34,375",96084
1177,"$34,313",92310
1178,"$34,266",91411
1179,"$34,254",92223
1180,"$34,232",96137
1181,"$34,219",92386
1182,"$34,181",95943
1183,"$34,141",91732
1184,"$34,092",93727
1185,"$34,069",90043
1186,"$34,034",93291
1187,"$34,022",95449
1188,"$34,012",95951
1189,"$33,997",90220
1190,"$33,962",94801
1191,"$33,918",95841
1192,"$33,915",95490
1193,"$33,901",95380
1194,"$33,893",95932
1195,"$33,884",95215
1196,"$33,854",96048
1197,"$33,802",93604
1198,"$33,793",95437
1199,"$33,776",92276
1200,"$33,750",95444
1201,"$33,728",92701
1202,"$33,675",96088
1203,"$33,670",93710
1204,"$33,656",90250
1205,"$33,629",95945
1206,"$33,605",93274
1207,"$33,556",94608
1208,"$33,542",95554
1209,"$33,523",93218
1210,"$33,511",95354
1211,"$33,503",95327
1212,"$33,500",93606
1213,"$33,473",95348
1214,"$33,445",90032
1215,"$33,300",95570
1216,"$33,214",95415
1217,"$33,194",95207
1218,"$33,187",95334
1219,"$33,182",95991
1220,"$33,152",94601
1221,"$33,125",96126
1222,"$33,065",95453
1223,"$33,035",93308
1224,"$33,031",92582
1225,"$32,961",95525
1226,"$32,933",96067
1227,"$32,917",91917
1228,"$32,917",93928
1229,"$32,917",95903
1230,"$32,917",96105
1231,"$32,917",96118
1232,"$32,844",92262
1233,"$32,826",95660
1234,"$32,825",92220
1235,"$32,813",95246
1236,"$32,813",95954
1237,"$32,773",93202
1238,"$32,698",90302
1239,"$32,692",96122
1240,"$32,644",91733
1241,"$32,594",95333
1242,"$32,589",93458
1243,"$32,586",95988
